,1,2
0,T2,Procedure 10 24	pathologically
1,T3,Value 25 34	confirmed
2,R2,Has_value Arg1:T2 Arg2:T3
3,T4,Condition 35 58	invasive adenocarcinoma
4,T5,Condition 62 86	ductal carcinoma in situ
5,*,OR T5 T4
6,R1,AND Arg1:T4 Arg2:T2
7,R3,AND Arg1:T5 Arg2:T2
8,T1,Procedure 132 152	segmental mastectomy
9,T6,Procedure 160 170	lumpectomy
10,R4,Subsumes Arg1:T1 Arg2:T6
11,T7,Procedure 212 229	radiation therapy
12,T8,Negation 188 191	not
13,R5,Has_negation Arg1:T7 Arg2:T8
14,T9,Qualifier 87 100	of the breast
15,R6,Has_qualifier Arg1:T4 Arg2:T9
16,R7,Has_qualifier Arg1:T5 Arg2:T9
17,T10,Condition 276 298	local-regional disease
18,T11,Undefined_semantics 276 298	local-regional disease
19,T12,Temporal 269 275	active
20,R8,Has_temporal Arg1:T10 Arg2:T12
21,T13,Negation 260 263	not
22,R9,Has_negation Arg1:T10 Arg2:T13
23,T14,Pregnancy_considerations 323 677	Patients must not be pregnant because of the potential for fetal harm as a result of radiation treatment. Women of child-bearing age will be given a serum pregnancy test prior to study entry to ensure they are not pregnant. They will also be counseled on the importance of avoiding pregnancy and hormonal contraception while undergoing radiation therapy.
24,T15,Post-eligibility 679 804	Patients must not have a serious medical or psychiatric illness which prevents informed consent or compliance with treatment.
25,T16,Post-eligibility 806 970	All patients must be informed of the investigational nature of this study and give written informed consent in accordance with institutional and federal guidelines.
0,T1,Condition 26 41	liver cirrhosis
1,T2,Mood 14 22	evidence
2,R1,Has_mood Arg1:T1 Arg2:T2
3,T3,Condition 55 58	HCC
4,T4,Mood 43 51	Evidence
5,R2,Has_mood Arg1:T3 Arg2:T4
6,T5,Condition 78 95	hepatitis B virus
7,T6,Condition 97 100	HIV
8,*,OR T6 T5
0,T1,Condition 0 12	primigravida
1,T2,Condition 14 33	singleton pregnancy
2,T3,Person 35 47	maternal age
3,T4,Value 48 59	18-35 years
4,R1,Has_value Arg1:T3 Arg2:T4
5,T6,Measurement 65 83	pregnancy duration
6,T7,Value 84 95	16-20 weeks
7,R2,Has_value Arg1:T6 Arg2:T7
8,T5,Temporal 96 126	at the time of study inclusion
9,R3,Has_temporal Arg1:T6 Arg2:T5
0,T1,Condition 0 4	T1DM
1,T2,Temporal 5 27	for at least 12 months
2,R1,Has_temporal Arg1:T1 Arg2:T2
3,T3,Measurement 40 52	HbA1c levels
4,T4,Multiplier 29 39	persistent
5,R2,Has_multiplier Arg1:T3 Arg2:T4
6,T5,Value 53 59	= 7.5%
7,T6,Value 61 72	58 mmol/mol
8,R3,Subsumes Arg1:T5 Arg2:T6
9,R4,Has_value Arg1:T3 Arg2:T5
10,T7,Procedure 82 109	optimized education therapy
11,R5,AND Arg1:T3 Arg2:T7
12,T8,Multiplier 112 121	recurrent
13,T9,Qualifier 122 128	severe
14,T10,Condition 129 150	hypoglycemic episodes
15,T11,Condition 154 178	high glucose variability
16,*,OR T10 T11
17,T12,Scope 129 178	hypoglycemic episodes or high glucose variability
18,R6,Has_qualifier Arg1:T12 Arg2:T9
19,R7,Has_multiplier Arg1:T12 Arg2:T8
20,T13,Mood 180 191	willingness
21,T14,Procedure 195 216	wear the insulin pump
22,T15,Device 204 216	insulin pump
23,R8,multi Arg1:T14 Arg2:T15
24,R9,Has_mood Arg1:T14 Arg2:T13
0,T1,Condition 11 24	recurrent UTI
1,T2,Multiplier 37 42	three
2,T3,Measurement 43 50	culture
3,R1,Has_multiplier Arg1:T3 Arg2:T2
4,T4,Temporal 63 84	within last 12 months
5,R2,Has_temporal Arg1:T1 Arg2:T4
6,R3,AND Arg1:T1 Arg2:T3
7,T5,Condition 96 117	neuromuscular disease
8,T6,Procedure 182 198	prolapse surgery
9,T7,Procedure 209 229	incontinence surgery
10,T8,Drug 246 272	anticholinergic medication
11,T9,Temporal 280 292	last 2 month
12,R4,Has_temporal Arg1:T8 Arg2:T9
13,T10,Qualifier 304 321	bladder injection
14,T11,Drug 327 345	onabotulinumtoxinA
15,R5,Has_qualifier Arg1:T11 Arg2:T10
16,T12,Person 347 355	Prisoner
17,T13,Condition 364 373	Pregnancy
0,T1,Parsing_Error 0 2	1.
1,T2,Parsing_Error 240 242	2.
2,T3,Parsing_Error 356 358	3.
3,T4,Parsing_Error 544 546	4.
4,T5,Person 3 6	Age
5,T6,Value 8 30	12 to 36 months of age
6,T7,"Not_a_criteria 31 237	(The diagnosis of CP is often uncertain under the age of 12 months. The cutoff at 36 months is to have a population of young children when the brain is most ""plastic"" and most susceptible to reorganization)"
7,T8,Condition 267 277	spastic CP
8,T9,Non-query-able 359 542	Etiology: The insult to the central nervous system that caused the motor dysfunction must have occurred during gestation or within one year after birth independent of gestational age.
9,T10,Temporal 490 510	one year after birth
10,T11,Measurement 571 621	Gross Motor Function Classification System (GMFCS)
11,T12,"Value 622 642	levels I, II and III"
12,R1,Has_value Arg1:T11 Arg2:T12
0,T1,Condition 12 34	Chronic Kidney Disease
1,T2,Measurement 0 5	Stage
2,T3,Value 6 11	3 - 5
3,R1,Has_value Arg1:T2 Arg2:T3
4,R2,AND Arg1:T1 Arg2:T2
0,T1,Condition 8 22	skin pathology
1,T2,Condition 34 42	freckles
2,T3,Qualifier 24 33	excessive
3,R1,Has_qualifier Arg1:T2 Arg2:T3
4,T4,Condition 47 61	skin blemishes
5,*,OR T2 T4 T1
6,T5,Condition 92 104	skin disease
7,T6,Condition 108 124	hypersensitivity
8,T7,Condition 138 155	contact allergies
9,T8,Condition 158 165	Sarcoma
10,T9,Condition 169 182	squamous cell
11,T10,Procedure 183 192	histology
12,*,OR T9 T8
13,T11,Scope 158 182	Sarcoma or squamous cell
14,R2,Has_scope Arg1:T10 Arg2:T11
15,T12,Condition 195 213	Metastatic disease
16,T13,Qualifier 214 227	to the breast
17,R3,Has_qualifier Arg1:T12 Arg2:T13
18,T14,Observation 238 249	tobacco use
19,T15,Temporal 230 237	Current
20,R4,Has_temporal Arg1:T14 Arg2:T15
0,T1,Procedure 11 37	mid-urethral sling surgery
1,T2,Condition 72 100	urgency urinary incontinence
2,T3,Condition 61 67;80 100	stress urinary incontinence
3,*,OR T2 T3
4,T4,"Post-eligibility 102 199	Able to consent, fill out study documents, and complete all study procedures and follow-up visits"
5,T5,Person 222 225	age
6,T6,Value 201 218	At least 18 years
7,R1,Has_value Arg1:T5 Arg2:T6
8,T7,Non-query-able 227 243	English speaking
9,T8,Non-query-able 245 323	Be able and willing to learn clean intermittent self catheterization technique
0,T1,Device 16 28	insulin pump
1,T2,Condition 30 39	pregnancy
2,T3,Mood 43 61	planning to become
3,T4,Condition 62 70	pregnant
4,R1,Has_mood Arg1:T4 Arg2:T3
5,T5,Temporal 71 90	in the next 2 years
6,R2,Has_temporal Arg1:T3 Arg2:T5
7,*,OR T2 T4
8,T6,Negation 93 100	lack of
9,T7,Observation 101 133	ability to use the study devices
10,R3,Has_negation Arg1:T7 Arg2:T6
11,T8,Device 120 133	study devices
12,R4,multi Arg1:T7 Arg2:T8
13,T9,Qualifier 146 152	severe
14,T10,Condition 153 169	chronic diseases
15,R5,Has_qualifier Arg1:T10 Arg2:T9
16,T11,Observation 135 142	history
17,R6,Has_temporal Arg1:T10 Arg2:T11
18,T12,Temporal 171 177	recent
19,T13,Temporal 181 192	concomitant
20,T14,Drug 200 215	corticosteroids
21,*,OR T13 T12
22,T15,Scope 171 192	recent or concomitant
23,R7,Has_scope Arg1:T14 Arg2:T15
24,T16,Drug 217 221;233 238	drug abuse
25,T17,Drug 225 238	alcohol abuse
26,*,OR T17 T16
27,T18,Condition 240 262	psychiatric complaints
28,T19,Observation 287 313	correct use of the devices
29,T20,Mood 268 282	interfere with
30,R8,Has_mood Arg1:T19 Arg2:T20
31,R9,Has_context Arg1:T18 Arg2:T19
0,T1,Parsing_Error 0 2	1.
1,T2,Parsing_Error 64 66	2.
2,T3,Parsing_Error 364 366	3.
3,T4,Condition 27 61	CP secondary to neuronal migration
4,T5,"Undefined_semantics 67 361	Co-morbidities: Medical conditions that may prevent the administration of rehabilitation therapies at the intensity required by the study, or that may compromise the study ability to maintain blindness, or that have a co-morbidity not typically associated with CP (i.e. cancer, cystic fibrosis)"
5,T6,Post-eligibility 367 508	Co-interventions: Anticipated pharmacological intervention or procedure or participation in other studies that may interfere with this study.
6,T7,Undefined_semantics 367 508	Co-interventions: Anticipated pharmacological intervention or procedure or participation in other studies that may interfere with this study.
0,T1,Condition 35 38	HCV
1,T2,Qualifier 39 49	Genotype 1
2,R1,Has_qualifier Arg1:T1 Arg2:T2
3,T3,Temporal 9 20	chronically
4,T4,Multiplier 9 20	chronically
5,R2,multi Arg1:T3 Arg2:T4
6,R3,Has_temporal Arg1:T1 Arg2:T3
7,T5,Measurement 51 69	HCV RNA viral load
8,T6,Value 73 86	≥ 10*5* IU/mL
9,T7,"Value 88 101	100,000 IU/mL"
10,R4,Subsumes Arg1:T6 Arg2:T7
11,R5,Has_value Arg1:T5 Arg2:T6
12,T8,Temporal 103 115	at screening
13,T9,Reference_point 106 115	screening
14,R6,multi Arg1:T8 Arg2:T9
15,R7,Has_temporal Arg1:T5 Arg2:T8
0,T1,Person 0 5	Women
1,T2,Condition 11 32	multi-fetal pregnancy
2,T3,Condition 34 51	diabetes mellitus
3,T4,Condition 53 73	chronic hypertension
4,T5,Condition 78 99	chronic renal disease
5,*,OR T4 T5 T3 T2
0,T1,Condition 11 33	cardiovascular disease
1,T2,Observation 0 7	History
2,T3,Temporal 36 43	Current
3,T4,Condition 44 53	pregnancy
4,R1,Has_temporal Arg1:T4 Arg2:T3
5,T5,Condition 69 81	hypertension
6,T6,Qualifier 56 68	Uncontrolled
7,R2,Has_qualifier Arg1:T5 Arg2:T6
8,T7,Qualifier 84 96	Uncontrolled
9,T8,Condition 97 111	hyperlipidemia
10,R3,Has_qualifier Arg1:T8 Arg2:T7
11,T9,Procedure 122 149	hormone replacement therapy
12,T10,Temporal 114 121	Current
13,R4,Has_temporal Arg1:T9 Arg2:T10
14,T11,Observation 160 183	use of tobacco products
15,T12,Temporal 152 159	Current
16,R5,Has_temporal Arg1:T11 Arg2:T12
17,T13,Condition 186 208	Elevated liver enzymes
18,T14,Condition 219 237	autoimmune disease
19,T15,Temporal 211 218	Current
20,R6,Has_temporal Arg1:T14 Arg2:T15
21,T16,Multiplier 240 249	Daily use
22,T17,Drug 256 268	antioxidants
23,T18,Multiplier 269 275	>300mg
24,R7,Has_multiplier Arg1:T17 Arg2:T18
25,R8,Has_multiplier Arg1:T17 Arg2:T16
0,T1,Mood 9 22	scheduled for
1,T2,Procedure 23 36	thyroidectomy
2,T3,Procedure 42 60	general anesthesia
3,R1,AND Arg1:T2 Arg2:T3
4,R2,Has_mood Arg1:T2 Arg2:T1
5,T4,Visit 68 104	University of Chile Clinical Hospita
6,R3,AND Arg1:T2 Arg2:T4
0,T1,Person 23 28	years
1,T2,Value 9 22	older than 18
2,R1,Has_value Arg1:T1 Arg2:T2
3,T3,Condition 30 47	Ischemic symptoms
4,T4,Mood 51 59	evidence
5,T5,Condition 63 82	myocardial ischemia
6,T6,Qualifier 84 93	inducible
7,T7,Qualifier 97 108	spontaneous
8,*,OR T6 T7
9,T8,Scope 84 108	inducible or spontaneous
10,R2,Has_scope Arg1:T5 Arg2:T8
11,R3,Has_mood Arg1:T5 Arg2:T4
12,T9,Value 129 133	>50%
13,T10,Qualifier 134 141	de novo
14,T11,Measurement 142 150	stenosis
15,R4,Has_value Arg1:T11 Arg2:T9
16,R5,Has_qualifier Arg1:T11 Arg2:T10
17,T12,Condition 142 150	stenosis
18,R6,AND Arg1:T12 Arg2:T11
19,R7,multi Arg1:T12 Arg2:T11
20,T13,Qualifier 162 185	native coronary vessels
21,R8,Has_qualifier Arg1:T12 Arg2:T13
22,*,OR T3 T5
23,R9,AND Arg1:T5 Arg2:T12
0,T1,Qualifier 6 14	elective
1,T2,Procedure 15 31;68 75	gastrointestinal surgery
2,T3,Procedure 60 75	bladder surgery
3,T4,Procedure 48 56;68 75	prostate surgery
4,T5,Procedure 33 46;68 75	gynecological surgery
5,*,OR T2 T4 T3 T5
6,T6,"Scope 15 75	gastrointestinal, gynecological, prostate or bladder surgery"
7,R1,Has_qualifier Arg1:T6 Arg2:T1
8,T7,Value 93 107	= 60 years old
9,T8,Person 104 107	old
10,R2,Has_value Arg1:T8 Arg2:T7
11,T9,Procedure 125 145	laparoscopic surgery
12,T10,Measurement 165 169	last
13,T11,Value 174 182	= 2 hour
14,R3,Has_value Arg1:T10 Arg2:T11
15,T12,Mood 153 161	expected
16,R4,Has_mood Arg1:T10 Arg2:T12
17,T13,Qualifier 184 208	under general anesthesia
18,R5,Has_qualifier Arg1:T10 Arg2:T13
19,T14,Mood 225 229	will
20,T15,Procedure 230 246	stay in hospital
21,T16,Value 251 280	at least 7 days after surgery
22,R6,Has_mood Arg1:T15 Arg2:T14
23,R7,Has_value Arg1:T15 Arg2:T16
24,T17,Negation 283 290	lack of
25,T18,Condition 311 328	vision impairment
26,T19,Condition 299 306;318 328	hearing impairment
27,*,OR T18 T19
28,T20,Scope 299 328	hearing and vision impairment
29,R8,Has_negation Arg1:T20 Arg2:T17
30,T21,Condition 336 348	able to read
31,T22,Procedure 357 378	neurobehavioral tests
32,T23,Mood 379 395	can be performed
33,R9,Has_mood Arg1:T22 Arg2:T23
0,T1,Observation 17 42	secondary school students
1,T2,Qualifier 46 54	years 10
2,T3,Qualifier 46 51;56 58	years 11
3,T4,Qualifier 46 51;64 66	years 12
4,*,OR T3 T4 T2
5,T5,Temporal 67 74	in 2017
6,T6,"Scope 46 66	years 10, 11, and 12"
7,R1,Has_scope Arg1:T1 Arg2:T6
8,R2,Has_temporal Arg1:T1 Arg2:T5
9,T7,Visit 0 16	South Australian
10,T8,Informed_consent 76 130	Written parental consent for those under the age of 18
11,T9,Informed_consent 132 246	Written student consent assent for those under the age of 18 (or if 18 years old and older consent for themselves)
12,T10,Multiplier 285 290	first
13,T11,Procedure 291 306	pharyngeal swab
14,T12,Mood 311 321	willing to
15,T13,Observation 322 350	comply with study procedures
16,R3,Has_mood Arg1:T13 Arg2:T12
17,R4,Has_multiplier Arg1:T11 Arg2:T10
0,T1,Condition 0 24	Type 2 diabetes mellitus
1,T2,Measurement 30 35	HbA1c
2,T3,Value 36 43	> 7.5 %
3,R1,Has_value Arg1:T2 Arg2:T3
4,T4,Measurement 45 60	Body mass index
