,1,2
0,E1,Modifier:T1 Modifies:T20
1,E2,Procedure:T2 Name:T20
2,E3,Modifier:T3 Modifies:T21
3,E4,Condition:T4 Name:T21
4,E5,Modifier:T5 Modifies:T22
5,E6,Procedure:T6 Name:T22
6,E7,Condition:T7 Name:T23
7,E8,Condition:T8 Name:T24
8,E9,Observation:T9 Name:T25 Numeric-Filter:E10
9,E10,Eq-Comparison:T10 Unit:T26 Operator:T27 Value:T28
10,E12,Condition:T12 Name:T30 Severity:T29
11,E13,Condition:T13 Name:T31
12,E14,Condition:T14 Name:T32
13,E15,Condition:T15 Name:T11 Severity:T33
14,E16,Modifier:T16 Modifies:T11
15,E18,Modifier:T18 Modifies:T11
16,E19,Procedure:T19 Name:T34
17,E11,Modifier:T35 Modifies:T34
18,T1,Modifier 28 36	elective
19,T2,Procedure 37 60	total knee arthroplasty
20,T3,Modifier 65 77	degenerative
21,T4,Condition 78 92	osteoarthritis
22,T5,Modifier 101 109	elective
23,T6,Procedure 110 132	total hip arthroplasty
24,T7,Condition 137 151	osteoarthritis
25,T8,Condition 155 184	osteonecrosis of femoral head
26,T9,Observation 213 216	ASA
27,T10,Eq-Comparison 217 225	class >3
28,T12,Condition 241 262	medical comorbidities
29,T13,Condition 271 293	inflammatory arthritis
30,T14,Condition 304 324	rheumatoid arthritis
31,T15,Condition 340 351	instability
32,T16,Modifier 355 359	knee
33,T18,Modifier 363 366	hip
34,T19,Procedure 384 391	surgery
35,T20,Procedure-Name 37 60	total knee arthroplasty
36,T21,Condition-Name 78 92	osteoarthritis
37,T22,Procedure-Name 110 132	total hip arthroplasty
38,T23,Condition-Name 137 151	osteoarthritis
39,T24,Condition-Name 155 184	osteonecrosis of femoral head
40,T25,Observation-Name 213 216	ASA
41,T26,Eq-Unit 217 222	class
42,T27,Eq-Operator 223 224	>
43,T28,Eq-Value 224 225	3
44,T29,Severity 234 240	severe
45,T30,Condition-Name 241 262	medical comorbidities
