,Person,Condition,Drug,Observation,Measurement,Procedure,Device,Visit,Negation,Qualifier,Temporal,Value,Multiplier,Reference_point,Mood,Post-eligibility,Pregnancy_considerations,Informed_consent
0,male,Bruton's tyrosine kinase inhibitor (,Buprenorphine/opioids,risk for suicide,test for hepatitis B,IL-2 therapy,study;|Able,measurement|Fetal heart rate abnormalities,radiotherapy;|Unsuitable evaluation,non-hematological,during this study,<500/mm3,≥ 1 year.|HBsAg positive,,requirement for,"liver|Able to understand and adhere to study requirements, and voluntarily give informed consent||",Is HIV-1,Willing to sign informed consent form;|Chinese healthy
1,Not,stoke,tiragolumab,change in glucose control medications,Saturation levels,small-molecule kinase inhibitor has been accepted,PRP injection,Pediatric Rehabilitation course for the first time in the Fall semester of the academic year,Lack of,conscious,for at least 5 days prior to,> 10mg/day,≥ 5 μ,,symptoms for,"Unwillingness to be part of the study,|Patients with poor 2-dimensional imaging quality",Being a nursing,ia:||Provide written informed consent (signed and dated)
2,Youth residing,polycythemia,peginterferon,fertility plan,Bone marrow biopsy,lipid-regulating therapy,WFNS,emergency department visits,never,discharge diagnosis,at or after the diagnosis,between 0 and 16 years,daily for at least 1,,abstinence for,Consent to participate not given,Is under,The patient is eligible for participation in cardiac rehabilitation|The patient has signed the standard rehabilitation agreement provided by the rehabilitation centre
3,abuse|Immunocompromised,multiple events,orthodontic appliances,necessary anaesthesia|Varus/valgus malalignment,months|Body mass index,salvage radiation therapy,disorder|Receive prenatal care,pediatric clinical rheumatology providers,Unless,women|Left,4 weeks prior to the baseline evaluation|Subject,19.0 to 32.0 kg/m^2|Body,≥ 1,,enamel flaws,Inability to perform the neuro-cognitive or functional tests,"Additionally, it is not known","Willing to sign the informed consent, and willing to attend follow-up visits.|Male individual at least 6 years of age with a diagnosis of XLRS and documented"
4,hours|Pacemaker,congenital intrauterine infection,over-the-counter sleep medication,risk of fracture;|Anemia,postural hypotension).|Heart rate,tumour biopsy,orthodontic appliances,University of Maryland Addiction Treatment Program,Not,bed-bound|Dementia|Residing,prior to cycle 1 may be included,≥18 years;|TNBC,≥6 consecutive months,,interfering with respirometry,Written informed consent to participate in the study|Age,If the tumor had invaded,Provision of signed and dated informed consent form|Stated willingness to comply with all study procedures and availability for the duration of the study|Aged ≥ 18 years|Documented history of dry eyes
5,accrete,chronic infection,drugs used in this study.||3,Expected survival time,"platelet values<150,000/ml",regular oral montelukast,prosthetic valve .|patients,interventional clinical research,not eligible,UNL|AST,at study start,1.1 times the upper limit of normal,more than two years,,sleep onset,understand and follow verbal orders (,"Additionally, patients must have fully recovered from all acute toxic effects of prior therapy.||NOTE: Cytoreduction with hydroxyurea",Patient does not have ABC/MBC|Patient
6,2016:||For,active cancers,non-steroidal anti-inflammatory agents,unable to continue the research,Mayo global score,24-hour creatinine clearance,artificial cardiac pacemaker,outpatient department||,women|Less than,having unsafe,at time of study enrollment|Comorbidities,38 years,greater than equivalent of 10 mg daily of,,preventing participation,inability to give informed consent to participate in the registry,"Pregnant patients,|Those",Refusal to participate in the register or inability to understand the informed consent.|Age under 18.|Patients who have already undergone previous flutter ablation procedures.
7,1996)|age,neurological degenerative disease,small intestine,unable to follow protocol requirements to complete the study;|Subjects,serum test.|Physician discretion,computerized tomographic images.|Hospital staff,prosthesis,completed weeks,compromises the benefit,between cycloplegic,during the participation of clinical trial.|Individuals,<7.4mm,more than one week continuously#|sign informed,,indication,The exclusion criteria for parents are||a reported,Females of childbearing potential.|Males,Unwilling to consent to microvessel ultrasound imaging|Younger than 21 years of age
8,initiated.|Men,residual cancer,methyltestosterone,ECMO.|Patient affiliated to the Social,residual hematopoietic cells;||Two,computed tomography (CT) prophylaxis).||5.5) The washout period of previous anticancer treatment,Implanted electronic devices,moment of inclusion in retrospective cohort study|Patient,neostigmine)|Patients,acceptable annual limit established by the US Federal Guidelines (effective dose,insufficiency;|Long-term,135-180 mmHg,600 mg twice daily,,permitted to enroll.|History,"Inability to provide informed consent;|Patient who, judging by the study team, does not have a condition for decentralized follow-up","Additionally, the effects of niraparib on the developing fetus are unknown.",The inclusion criteria will include:||Informed consent of the participant|All women who are 18 years old
9,are:||Male,suctioning only|streaks,anti-histamines,admitted to the neonatal unit after delivery,intraocular pressure;|Moderate,definitive fixation,implanted metallic,outpatient clinics,healing touch,in the breast with a,at least 8 hours a day,> 20 ng/mL,routine care.|Enrolled,,IM injections,Able to understand study requirements,The use of,Provision of signed and dated informed consent form|Stated willingness to comply with study procedures and availability for the duration of the study|Have a documented history of
10,enrollment:||Male,pancreatic diseases,articular reconstruction,Signed IRB approved written informed consent/,Lewy Body Dementia,joint fluid analysis,prosthetic valve implantation,obvious,high,meeting discontinuation criteria,within approximately 12 months,<5 x ULN,once a month,,scheduled to undergo,Written informed consent form must be signed by the patient or the patient's immediate family members before enrollment.||,"Additionally, the","The subjects voluntarily joined the study, signed the informed consent form, and had"
11,Weight,iris,sodium hyaluronate,EFGR sensitive gene mutation,hepatitis C infection.||Hepatitis B infection,abdominal massage application restrictions,prosthetic valve replacement,pediatric endocrinology||,with the exception of hydroxyurea,controlled by alternative therapy alone,for 12 weeks|Able to participate in a structured mindfulness-stress reduction,>90 or <60 mmHg,> 8mm.|Keratinized mucosa,,abstinence through,Patient whose,female of childbearing potential,Patients who sign the informed consent form and are willing to complete the study according to the plan;|Aged from 18 to 80 years old;|ECOG equals 0 or 1;|Not receiving lung cancer surgery before;|Confirmed to be invasive
12,treatment.|Life expectancy,hospitalization|diagnosis,systemic anti-neoplastic,cysts,serum albumin≥3g/dl,Blood donation/loss,central venous access device insertion,Pediatric Emergency Clinic,except,interfering with gingival inflammation,within three months prior to,between 19.0~26.0kg/m2,≥ 2+ regurgitation,,planned to receive,Inability or unwillingness to provide informed consent|Three-month nutritional supplement|Age,Participants who do not,refusal to consent|lost to follow-up
13,old|Male,hallux valgus,hyaluronic acid injection,Cockcroft-Gault estimation|Concurrent participation,National Cancer Institute General Adverse Event Term 5.0 (NCI CTCAE V5.0),focal cortical siderosis,LAMS,adult basic life,Do,adjuvants,within 2 weeks prior to first dose of Ensifentrine/ Placebo,less than 3 months old|having been,≥ 19 years.|Clinically,,Indication for,Inability or unwilling to give informed consent.|History of,Being a nursing home resident,The subjects voluntarily joined the study and signed the informed consent
14,iteria:||Male,OAR,asenapine,close relatives signed informed consent,Black / African,placement of a,peacemaker implantation,pediatric emergencies of,fractures,middle third of dentine confirmed,for at least 90 days after the last application of the study drug,7-9 points)|Absence,lower than -6.00D|Coexisting,,lack of,"Ability to understand and willing to sign an informed consent form (ICF)|Male and female patients, age",Is female,Refusal to participate|Younger than 18 years|Incapacitated
15,Younger,unknown HIV status,antiulcer medications,limit compliance with study requirements|Autoimmune disease,nasal polyps|History,distal bile duct carcinoma (DBC),Inc. study,allogeneic bone marrow transplantation,uncontrollable,suitable for thoracotomy,before starting study intervention.|Have,"180,000 to 320,000 per mm³.||",fewer than 3,,dementia;|Unsuitable for participation in this study assessed by investigators;|Patients who,Inability to sign consent form|Inability to speak English|Emergent surgery|Current smoker|Smoking,Female subjects must not donate,patient does not comply with study procedures such that safety of the trial is affected then they will be withdrawn from the study.|Female patients with reproductive potential must have a negative urine or
16,use.|Male,demyelinating diseases,dalfampridine,situations that would limit compliance with study requirements,Serum IgG4 levels,small-cell carcinoma component.|History,mechanical valve replacement intervention (surgical,Gradual,cysts|Negative,stenotic,within 30 days.|Patients,>325mg/day,>2 standard alcoholic drinks per day,,preventing the,She's newly married.|Women,Children who,"Signed written informed consent|Diagnosis of symptomatic osteochondral or chondral lesion of the talus, deemed by surgeon amenable to arthroscopic treatment with debridement and microfracture|Age of 18-65 years|Subject is willing and able to comply with all study procedures, including visits"
17,guidelines)|Age,aortic stenosis,HIV.|Any medications,patent foramen,annual failure rate,dipstick testing,implanted metallic devices,University Hospital inpatient psychiatric unit.|Decision,no apparent,glutamic oxalacetic aminotransferase,28 days prior to cycle1 day 1(C1D1,> 30 mL,> 25 mg/week,,use|Interest,inability to consent|chronic renal replacement therapy,"FTX-6058,",Refusal to give informed consent|Any condition that would limit the ability of the patient to give consent|Psychiatric cares|To be deprived of liberty|To be under administrative supervision
18,years.|History,primary headaches,ripretinib treatment||,handle a computer with internet connection||,ZI Mannheim|Age,surgical intervention of any kind for,frozen shoulder,adult emergency department,lack of,T3,during the study;||12,at least 90 days after the procedure).||**True,at least one eye,,wAIHA for,Inability to communicate in either Dutch or English|Weight,A current,Patient's refusal
